name,year,denom_labor_force,Labor Force Participation Rate
Irwindale,2022,848,65%
Pico-Union,2022,19369,63%
Glendora,2022,26338,62%
Industry,2022,6846,64%
Sylmar,2022,40839,65%
Torrance,2022,75903,65%
Alhambra,2022,43630,63%
Pico Rivera,2022,31477,62%
Rolling Hills Estates,2022,4412,57%
Signal Hill,2022,6812,70%
Hawthorne,2022,49321,70%
North Hills,2022,30522,66%
Hacienda Heights,2022,26980,60%
Harbor Gateway,2022,21098,66%
Lopez/Kagel Canyons,2022,797,61%
Citrus,2022,7306,68%
Lake Balboa,2022,14772,70%
Granada Hills,2022,29124,63%
Palms,2022,28700,80%
Santa Monica,2022,52586,68%
Pacoima,2022,35091,61%
Toluca Lake,2022,6220,74%
Veterans Administration,2022,175,21%
Valley Village,2022,16063,73%
Brentwood,2022,18911,71%
Pomona,2022,74846,63%
South Whittier,2022,28053,67%
Pasadena,2022,79414,68%
Winnetka,2022,29167,69%
Palmdale,2022,76917,61%
Porter Ranch,2022,12138,61%
South El Monte,2022,9723,60%
Tujunga Canyons,2022,3850,61%
Commerce,2022,5548,55%
San Fernando,2022,12529,66%
Sherman Oaks,2022,45768,76%
Bradbury,2022,473,46%
Panorama City,2022,35364,69%
Northridge,2022,37505,68%
Culver City,2022,23026,70%
Lakewood,2022,45621,68%
Compton,2022,44927,62%
Vernon,2022,148,56%
San Dimas,2022,19284,64%
Inglewood,2022,59498,68%
Charter Oak,2022,4846,68%
Paramount,2022,26680,66%
San Pedro,2022,42487,65%
Lincoln Heights,2022,14927,65%
Boyle Heights,2022,41904,61%
Historic South-Central,2022,24294,65%
Avalon,2022,1987,75%
Westlake,2022,59347,68%
Mission Hills,2022,9964,65%
Quartz Hill,2022,4717,57%
Marina del Rey,2022,7662,86%
Bell,2022,15880,62%
Long Beach,2022,249503,67%
San Gabriel,2022,21282,62%
Downey,2022,60500,66%
Diamond Bar,2022,24385,62%
La Canada Flintridge,2022,9013,58%
West Covina,2022,57345,64%
Redondo Beach,2022,40081,73%
Vermont Square,2022,26273,64%
Santa Fe Springs,2022,11220,61%
Calabasas,2022,11815,65%
Altadena,2022,21897,65%
Bell Gardens,2022,18074,61%
Sun Valley,2022,36187,65%
Playa Vista,2022,9207,76%
Carson,2022,48552,62%
Hollywood Hills,2022,14253,77%
Lancaster,2022,70879,56%
Leona Valley,2022,390,50%
Whittier,2022,42469,63%
Walnut,2022,13943,60%
Castaic Canyons,2022,24205,68%
Silver Lake,2022,19154,74%
Whittier Narrows,2022,385,55%
Glendale,2022,101657,63%
West Whittier-Los Nietos,2022,11340,59%
Atwater Village,2022,7123,69%
East Whittier,2022,5170,61%
El Sereno,2022,20494,63%
Montecito Heights,2022,10194,66%
Florence,2022,24335,63%
Huntington Park,2022,28069,66%
Cheviot Hills,2022,4183,67%
Cypress Park,2022,4506,66%
Desert View Highlands,2022,1081,68%
Baldwin Park,2022,36201,62%
Montebello,2022,32157,64%
Leimert Park,2022,6478,62%
Santa Clarita,2022,96833,68%
Elysian Park,2022,1472,72%
Wilmington,2022,25626,62%
Jefferson Park,2022,12408,63%
Downtown,2022,38596,70%
Encino,2022,24744,64%
West Adams,2022,11722,70%
Hawaiian Gardens,2022,7060,66%
Agoura Hills,2022,8577,63%
Baldwin Hills/Crenshaw,2022,18073,66%
Lake View Terrace,2022,6014,58%
Adams-Normandie,2022,9781,64%
El Monte,2022,52640,62%
Rancho Dominguez,2022,1740,67%
Acton,2022,1573,59%
Studio City,2022,25674,76%
La Puente,2022,19232,63%
North Hollywood,2022,46418,72%
Rosemead,2022,24845,58%
San Marino,2022,5784,58%
East San Gabriel,2022,10688,62%
South Park,2022,17080,66%
Burbank,2022,59025,67%
Woodland Hills,2022,40179,68%
Angeles Crest,2022,1150,54%
East Compton,2022,5650,61%
Chatsworth,2022,28218,66%
Mayflower Village,2022,5041,63%
Koreatown,2022,59589,70%
South Gate,2022,46742,66%
Elysian Valley,2022,4170,67%
Claremont,2022,19625,59%
Avocado Heights,2022,7256,65%
South San Gabriel,2022,3875,59%
Northwest Antelope Valley,2022,1898,58%
Echo Park,2022,21697,73%
Lynwood,2022,31257,62%
Unincorporated Santa Susana Mountains,2022,12101,66%
Shadow Hills,2022,6396,57%
La Habra Heights,2022,3194,63%
Covina,2022,31182,69%
Northwest Palmdale,2022,1564,55%
Sawtelle,2022,27920,77%
Rancho Park,2022,3017,68%
East Los Angeles,2022,57808,63%
Beverlywood,2022,3239,65%
Bellflower,2022,41144,66%
Azusa,2022,26031,67%
Del Rey,2022,16848,70%
Mid-Wilshire,2022,26733,76%
North Whittier,2022,3435,62%
Beverly Crest,2022,4952,61%
Cerritos,2022,23681,58%
West Hills,2022,20636,63%
Vincent,2022,7405,69%
Sun Village,2022,714,55%
Playa del Rey,2022,7326,71%
Valinda,2022,10092,65%
Tujunga,2022,14617,62%
Exposition Park,2022,17548,62%
Eagle Rock,2022,19048,67%
Harbor City,2022,13351,66%
Southeast Antelope Valley,2022,3583,57%
Reseda,2022,37484,66%
Willowbrook,2022,16777,63%
Highland Park,2022,29082,71%
Temple City,2022,18383,61%
Westlake Village,2022,3765,60%
Pico-Robertson,2022,9068,73%
Monrovia,2022,21453,68%
Broadway-Manchester,2022,13364,62%
Sunland,2022,9110,66%
Agua Dulce,2022,2080,58%
Malibu,2022,4032,59%
Topanga,2022,4160,65%
Northeast Antelope Valley,2022,7260,50%
Arleta,2022,17709,64%
Van Nuys,2022,63310,71%
Mar Vista,2022,21270,72%
Valley Glen,2022,30932,68%
Arcadia,2022,28849,60%
Windsor Square,2022,3675,69%
West Puente Valley,2022,9220,62%
Central-Alameda,2022,21660,65%
Arlington Heights,2022,10154,63%
Harvard Heights,2022,9334,63%
Harvard Park,2022,5229,63%
East Hollywood,2022,36525,69%
Lennox,2022,9727,71%
Larchmont,2022,5388,73%
Tarzana,2022,19365,65%
Rolling Hills,2022,1021,50%
Mid-City,2022,29583,70%
Westchester,2022,24097,69%
Manchester Square,2022,5909,60%
Rowland Heights,2022,23942,62%
Ridge Route,2022,3280,66%
South San Jose Hills,2022,9706,66%
Vermont-Slauson,2022,14122,59%
Athens,2022,5025,66%
Mount Washington,2022,8434,71%
West Compton,2022,3292,66%
Los Feliz,2022,21845,77%
Chinatown,2022,6028,66%
Century City,2022,3106,65%
Florence-Firestone,2022,29529,62%
University Park,2022,10860,53%
Hollywood Hills West,2022,8681,73%
Unincorporated Santa Monica Mountains,2022,8851,57%
West Los Angeles,2022,8241,73%
Hancock Park,2022,6507,73%
Canoga Park,2022,36042,71%
Chesterfield Square,2022,4328,62%
Hidden Hills,2022,686,50%
Norwalk,2022,50016,63%
North El Monte,2022,1265,62%
Monterey Park,2022,29698,58%
Hollywood,2022,49424,75%
Fairfax,2022,8581,76%
Glassell Park,2022,13472,71%
Watts,2022,17753,61%
La Verne,2022,15592,61%
Rancho Palos Verdes,2022,18975,56%
Green Meadows,2022,15778,61%
Del Aire,2022,4261,67%
Vermont Knolls,2022,10034,58%
Castaic,2022,5787,69%
Westwood,2022,25413,55%
Venice,2022,21724,76%
South Diamond Bar,2022,1828,59%
Universal City,2022,,
Pacific Palisades,2022,10427,60%
Bel-Air,2022,3174,61%
East Pasadena,2022,2525,61%
Cudahy,2022,10493,63%
Palos Verdes Estates,2022,5274,51%
Ladera Heights,2022,3458,63%
Walnut Park,2022,7923,64%
La Crescenta-Montrose,2022,10108,66%
Gardena,2022,31912,66%
Duarte,2022,11149,62%
La Mirada,2022,24506,62%
Maywood,2022,12132,65%
Alondra Park,2022,4269,63%
Beverly Grove,2022,13895,75%
Vermont Vista,2022,11759,60%
Lawndale,2022,18198,73%
Hyde Park,2022,17238,60%
Lomita,2022,11424,68%
South Pasadena,2022,14658,70%
Westmont,2022,15801,61%
San Pasqual,2022,1191,72%
West Hollywood,2022,26476,78%
Artesia,2022,8167,61%
Manhattan Beach,2022,16565,62%
West Carson,2022,11776,63%
Hermosa Beach,2022,11447,71%
Carthay,2022,2942,75%
Beverly Hills,2022,16414,60%
El Segundo,2022,10511,76%
View Park-Windsor Hills,2022,6127,60%
Sierra Madre,2022,6339,68%
Gramercy Park,2022,5316,61%
Aggregated,2022,5216824,66%
